"","Size","Phylum","Class","Order","Family","Genus"
"Otu1694","52","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"Otu1696","52","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1698","52","Acidobacteria","Acidobacteria_Gp2","Acidobacteria_Gp2_order_incertae_sedis","Acidobacteria_Gp2_family_incertae_sedis","Gp2"
"Otu1699","52","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1700","52","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"Otu1701","52","Acidobacteria","Acidobacteria_Gp2","Acidobacteria_Gp2_order_incertae_sedis","Acidobacteria_Gp2_family_incertae_sedis","Gp2"
"Otu1703","51","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"Otu1704","51","Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu1705","51","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Micromonosporaceae_unclassified"
"Otu1706","51","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"Otu1707","51","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1708","51","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1709","51","Verrucomicrobia","Spartobacteria","Spartobacteria_order_incertae_sedis","Spartobacteria_family_incertae_sedis","Spartobacteria_genera_incertae_sedis"
"Otu1710","51","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu1711","51","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu1712","51","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella"
"Otu1713","51","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1715","51","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu1716","51","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1717","51","Acidobacteria","Acidobacteria_Gp5","Acidobacteria_Gp5_order_incertae_sedis","Acidobacteria_Gp5_family_incertae_sedis","Gp5"
"Otu1718","51","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1719","51","TM7","TM7_class_incertae_sedis","TM7_order_incertae_sedis","TM7_family_incertae_sedis","TM7_genus_incertae_sedis"
"Otu1720","51","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1721","51","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
